disorder_group,ICD10_Code,description,flag
Bipolar and Related Disorders,F31.81,Bipolar II disorder,originalCodes
Bipolar and Related Disorders,F31.89,Other bipolar disorder,originalCodes
Bipolar and Related Disorders,F31.9,"Bipolar disorder, unspecified",originalCodes
Bipolar and Related Disorders,F34.0,Cyclothymic disorder,originalCodes
Depressive Disorders,F32.0,"Major depressive disorder, single episode, mild",originalCodes
Depressive Disorders,F32.1,"Major depressive disorder, single episode, moderate",originalCodes
Depressive Disorders,F32.2,"Major depressive disorder, single episode, severe without psychotic features",originalCodes
Depressive Disorders,F32.3,"Major depressive disorder, single episode, severe with psychotic features",originalCodes
Depressive Disorders,F32.4,"Major depressive disorder, single episode, in partial remission",originalCodes
Depressive Disorders,F32.5,"Major depressive disorder, single episode, in full remission",originalCodes
Depressive Disorders,F32.8,Other depressive episodes,originalCodes
Depressive Disorders,F32.89,Other specified depressive episodes,originalCodes
Depressive Disorders,F32.9,"Major depressive disorder, single episode, unspecified",originalCodes
Depressive Disorders,F33.0,"Major depressive disorder, recurrent, mild",originalCodes
Depressive Disorders,F33.1,"Major depressive disorder, recurrent, moderate",originalCodes
Depressive Disorders,F33.2,"Major depressive disorder, recurrent severe without psychotic features",originalCodes
Depressive Disorders,F33.3,"Major depressive disorder, recurrent, severe with psychotic symptoms",originalCodes
Depressive Disorders,F33.40,"Major depressive disorder, recurrent, in remission, unspecified",originalCodes
Depressive Disorders,F33.41,"Major depressive disorder, recurrent, in partial remission",originalCodes
Depressive Disorders,F33.42,"Major depressive disorder, recurrent, in full remission",originalCodes
Depressive Disorders,F33.8,Other recurrent depressive disorders,originalCodes
Depressive Disorders,F33.9,"Major depressive disorder, recurrent, unspecified",originalCodes
Depressive Disorders,F34.1,Dysthymic disorder,originalCodes
Depressive Disorders,F34.8,Other persistent mood [affective] disorders,originalCodes
Depressive Disorders,F34.81,Disruptive mood dysregulation disorder,originalCodes
"Disruptive, Impulse Control and Conduct Disorders",F63.0,Pathological gambling,originalCodes
"Disruptive, Impulse Control and Conduct Disorders",F63.1,Pyromania,originalCodes
"Disruptive, Impulse Control and Conduct Disorders",F63.2,Kleptomania,originalCodes
"Disruptive, Impulse Control and Conduct Disorders",F63.81,Intermittent explosive disorder,originalCodes
"Disruptive, Impulse Control and Conduct Disorders",F63.89,Other impulse disorders,originalCodes
"Disruptive, Impulse Control and Conduct Disorders",F63.9,"Impulse disorder, unspecified",originalCodes
"Disruptive, Impulse Control and Conduct Disorders",F91.0,Conduct disorder confined to family context,originalCodes
"Disruptive, Impulse Control and Conduct Disorders",F91.1,"Conduct disorder, childhood-onset type",originalCodes
"Disruptive, Impulse Control and Conduct Disorders",F91.2,"Conduct disorder, adolescent-onset type",originalCodes
"Disruptive, Impulse Control and Conduct Disorders",F91.3,Oppositional defiant disorder,originalCodes
"Disruptive, Impulse Control and Conduct Disorders",F91.8,Other conduct disorders,originalCodes
"Disruptive, Impulse Control and Conduct Disorders",F91.9,"Conduct disorder, unspecified",originalCodes
Dissociative Disorders,F44.0,Dissociative amnesia,originalCodes
Dissociative Disorders,F44.1,Dissociative fugue,originalCodes
Dissociative Disorders,F44.2,Dissociative stupor,originalCodes
Dissociative Disorders,F44.81,Dissociative identity disorder,originalCodes
Dissociative Disorders,F48.1,Depersonalization-derealization syndrome,originalCodes
Feeding and Eating Disorders,F50.00,"Anorexia nervosa, unspecified",originalCodes
Feeding and Eating Disorders,F50.01,"Anorexia nervosa, restricting type",originalCodes
Feeding and Eating Disorders,F50.02,"Anorexia nervosa, binge eating/purging type",originalCodes
Feeding and Eating Disorders,F50.2,Bulimia nervosa,originalCodes
Feeding and Eating Disorders,F50.8,Other eating disorders,originalCodes
Feeding and Eating Disorders,F50.81,Binge eating disorder,originalCodes
Feeding and Eating Disorders,F50.82,Avoidant/restrictive food intake disorder,originalCodes
Feeding and Eating Disorders,F50.89,Other specified eating disorder,originalCodes
Feeding and Eating Disorders,F50.9,"Eating disorder, unspecified",originalCodes
Feeding and Eating Disorders,F98.21,Rumination disorder of infancy,originalCodes
Feeding and Eating Disorders,F98.29,Other feeding disorders of infancy and early childhood,originalCodes
Feeding and Eating Disorders,F98.3,Pica of infancy and childhood,originalCodes
Mental Health Symptom,F59,Unspecified behavioral syndromes associated with physiological disturbances and physical factors,originalCodes
Mental Health Symptom,R44.0,Auditory hallucinations,originalCodes
Mental Health Symptom,R44.1,Visual hallucinations,originalCodes
Mental Health Symptom,R44.2,Other hallucinations,originalCodes
Mental Health Symptom,R44.3,"Hallucinations, unspecified",originalCodes
Mental Health Symptom,R45.0,Nervousness,originalCodes
Mental Health Symptom,R45.1,Restlessness and agitation,originalCodes
Mental Health Symptom,R45.2,Unhappiness,originalCodes
Mental Health Symptom,R45.3,Demoralization and apathy,originalCodes
Mental Health Symptom,R45.4,Irritability and anger,originalCodes
Mental Health Symptom,R45.5,Hostility,originalCodes
Mental Health Symptom,R45.6,Violent behavior,originalCodes
Mental Health Symptom,R45.7,"State of emotional shock and stress, unspecified",originalCodes
Mental Health Symptom,R45.81,Low self-esteem,originalCodes
Mental Health Symptom,R45.82,Worries,originalCodes
Mental Health Symptom,R45.83,"Excessive crying of child, adolescent or adult",originalCodes
Mental Health Symptom,R45.84,Anhedonia,originalCodes
Mental Health Symptom,R45.850,Homicidal ideations,originalCodes
Mental Health Symptom,R45.86,Emotional lability,originalCodes
Mental Health Symptom,R45.87,Impulsiveness,originalCodes
Mental Health Symptom,R45.89,Other symptoms and signs involving emotional state,originalCodes
Mental Health Symptom,R46.0,Very low level of personal hygiene,originalCodes
Mental Health Symptom,R46.1,Bizarre personal appearance,originalCodes
Mental Health Symptom,R46.2,Strange and inexplicable behavior,originalCodes
Mental Health Symptom,R46.3,Overactivity,originalCodes
Mental Health Symptom,R46.4,Slowness and poor responsiveness,originalCodes
Mental Health Symptom,R46.5,Suspiciousness and marked evasiveness,originalCodes
Mental Health Symptom,R46.6,Undue concern and preoccupation with stressful events,originalCodes
Mental Health Symptom,R46.7,Verbosity and circumstantial detail obscuring reason for contact,originalCodes
Mental Health Symptom,R46.81,Obsessive-compulsive behavior,originalCodes
Mental Health Symptom,Z72.810,Child and adolescent antisocial behavior,originalCodes
Mental Health Symptom,Z91.83,Wandering in diseases classified elsewhere,originalCodes
Miscellaneous,F07.0,Personality change due to known physiological condition,originalCodes
Miscellaneous,F07.9,Unspecified personality and behavioral disorder due to known physiological condition,originalCodes
Miscellaneous,F09,Unspecified mental disorder due to known physiological condition,originalCodes
Miscellaneous,F28,Other psychotic disorder not due to a substance or known physiological condition,originalCodes
Miscellaneous,F32.81,Premenstrual dysphoric disorder,originalCodes
Miscellaneous,F34.89,Other specified persistent mood disorders,originalCodes
Miscellaneous,F34.9,"Persistent mood [affective] disorder, unspecified",originalCodes
Miscellaneous,F39,Unspecified mood [affective] disorder,originalCodes
Miscellaneous,F44.89,Other dissociative and conversion disorders,originalCodes
Miscellaneous,F44.9,"Dissociative and conversion disorder, unspecified",originalCodes
Miscellaneous,F48.8,Other specified nonpsychotic mental disorders,originalCodes
Miscellaneous,F48.9,"Nonpsychotic mental disorder, unspecified",originalCodes
Miscellaneous,F54,Psychological and behavioral factors associated with disorders or diseases classified elsewhere,originalCodes
Miscellaneous,F55.0,Abuse of antacids,originalCodes
Miscellaneous,F55.1,Abuse of herbal or folk remedies,originalCodes
Miscellaneous,F55.2,Abuse of laxatives,originalCodes
Miscellaneous,F55.3,Abuse of steroids or hormones,originalCodes
Miscellaneous,F55.4,Abuse of vitamins,originalCodes
Miscellaneous,F55.8,Abuse of other non-psychoactive substances,originalCodes
Miscellaneous,F68.8,Other specified disorders of adult personality and behavior,originalCodes
Miscellaneous,F69,Unspecified disorder of adult personality and behavior,originalCodes
Miscellaneous,F93.8,Other childhood emotional disorders,originalCodes
Miscellaneous,F93.9,"Childhood emotional disorder, unspecified",originalCodes
Miscellaneous,F94.8,Other childhood disorders of social functioning,originalCodes
Miscellaneous,F94.9,"Childhood disorder of social functioning, unspecified",originalCodes
Miscellaneous,F98.8,Other specified behavioral and emotional disorders with onset usually occurring in childhood and adolescence,originalCodes
Miscellaneous,F98.9,Unspecified behavioral and emotional disorders with onset usually occurring in childhood and adolescence,originalCodes
Miscellaneous,F99,"Mental disorder, not otherwise specified",originalCodes
Miscellaneous,R41.840,Attention and concentration deficit,originalCodes
Miscellaneous,R41.841,Cognitive communication deficit,originalCodes
Miscellaneous,R41.842,Visuospatial deficit,originalCodes
Miscellaneous,R41.843,Psychomotor deficit,originalCodes
Miscellaneous,R41.844,Frontal lobe and executive function deficit,originalCodes
Miscellaneous,R41.89,Other symptoms and signs involving cognitive functions and awareness,originalCodes
Miscellaneous,R41.9,Unspecified symptoms and signs involving cognitive functions and awareness,originalCodes
Obsessive-Compulsive and Related Disorders,F42,Obsessive-compulsive disorder,originalCodes
Obsessive-Compulsive and Related Disorders,F42.2,Mixed obsessional thoughts and acts,originalCodes
Obsessive-Compulsive and Related Disorders,F42.3,Hoarding disorder,originalCodes
Obsessive-Compulsive and Related Disorders,F42.4,Excoriation (skin-picking) disorder,originalCodes
Obsessive-Compulsive and Related Disorders,F42.8,Other obsessive-compulsive disorder,originalCodes
Obsessive-Compulsive and Related Disorders,F42.9,"Obsessive-compulsive disorder, unspecified",originalCodes
Obsessive-Compulsive and Related Disorders,F45.22,Body dysmorphic disorder,originalCodes
Obsessive-Compulsive and Related Disorders,F63.3,Trichotillomania,originalCodes
Personality Disorders,F21,Schizotypal disorder,originalCodes
Personality Disorders,F60.0,Paranoid personality disorder,originalCodes
Personality Disorders,F60.1,Schizoid personality disorder,originalCodes
Personality Disorders,F60.2,Antisocial personality disorder,originalCodes
Personality Disorders,F60.3,Borderline personality disorder,originalCodes
Personality Disorders,F60.4,Histrionic personality disorder,originalCodes
Personality Disorders,F60.5,Obsessive-compulsive personality disorder,originalCodes
Personality Disorders,F60.6,Avoidant personality disorder,originalCodes
Personality Disorders,F60.7,Dependent personality disorder,originalCodes
Personality Disorders,F60.81,Narcissistic personality disorder,originalCodes
Personality Disorders,F60.89,Other specific personality disorders,originalCodes
Personality Disorders,F60.9,"Personality disorder, unspecified",originalCodes
Schizophrenia Spectrum and Other Psychotic Disorders,F06.0,Psychotic disorder with hallucinations due to known physiological condition,originalCodes
Schizophrenia Spectrum and Other Psychotic Disorders,F06.1,Catatonic disorder due to known physiological condition,originalCodes
Schizophrenia Spectrum and Other Psychotic Disorders,F20.0,Paranoid schizophrenia,originalCodes
Schizophrenia Spectrum and Other Psychotic Disorders,F20.1,Disorganized schizophrenia,originalCodes
Schizophrenia Spectrum and Other Psychotic Disorders,F20.2,Catatonic schizophrenia,originalCodes
Schizophrenia Spectrum and Other Psychotic Disorders,F20.3,Undifferentiated schizophrenia,originalCodes
Schizophrenia Spectrum and Other Psychotic Disorders,F20.5,Residual schizophrenia,originalCodes
Schizophrenia Spectrum and Other Psychotic Disorders,F20.81,Schizophreniform disorder,originalCodes
Schizophrenia Spectrum and Other Psychotic Disorders,F20.89,Other schizophrenia,originalCodes
Schizophrenia Spectrum and Other Psychotic Disorders,F20.9,"Schizophrenia, unspecified",originalCodes
Schizophrenia Spectrum and Other Psychotic Disorders,F22,Delusional disorders,originalCodes
Schizophrenia Spectrum and Other Psychotic Disorders,F23,Brief psychotic disorder,originalCodes
Schizophrenia Spectrum and Other Psychotic Disorders,F24,Shared psychotic disorder,originalCodes
Schizophrenia Spectrum and Other Psychotic Disorders,F25.0,"Schizoaffective disorder, bipolar type",originalCodes
Schizophrenia Spectrum and Other Psychotic Disorders,F25.1,"Schizoaffective disorder, depressive type",originalCodes
Schizophrenia Spectrum and Other Psychotic Disorders,F25.8,Other schizoaffective disorders,originalCodes
Schizophrenia Spectrum and Other Psychotic Disorders,F25.9,"Schizoaffective disorder, unspecified",originalCodes
Schizophrenia Spectrum and Other Psychotic Disorders,F29,Unspecified psychosis not due to a substance or known physiological condition,originalCodes
Sleep-Wake Disorders,F51.01,Primary insomnia,originalCodes
Sleep-Wake Disorders,F51.02,Adjustment insomnia,originalCodes
Sleep-Wake Disorders,F51.03,Paradoxical insomnia,originalCodes
Sleep-Wake Disorders,F51.04,Psychophysiologic insomnia,originalCodes
Sleep-Wake Disorders,F51.05,Insomnia due to other mental disorder,originalCodes
Sleep-Wake Disorders,F51.09,Other insomnia not due to a substance or known physiological condition,originalCodes
Sleep-Wake Disorders,F51.11,Primary hypersomnia,originalCodes
Sleep-Wake Disorders,F51.12,Insufficient sleep syndrome,originalCodes
Sleep-Wake Disorders,F51.13,Hypersomnia due to other mental disorder,originalCodes
Sleep-Wake Disorders,F51.19,Other hypersomnia not due to a substance or known physiological condition,originalCodes
Sleep-Wake Disorders,F51.3,Sleepwalking [somnambulism],originalCodes
Sleep-Wake Disorders,F51.4,Sleep terrors [night terrors],originalCodes
Sleep-Wake Disorders,F51.5,Nightmare disorder,originalCodes
Sleep-Wake Disorders,F51.8,Other sleep disorders not due to a substance or known physiological condition,originalCodes
Sleep-Wake Disorders,F51.9,"Sleep disorder not due to a substance or known physiological condition, unspecified",originalCodes
Somatic Symptom and Related Disorders,F44.4,Conversion disorder with motor symptom or deficit,originalCodes
Somatic Symptom and Related Disorders,F44.5,Conversion disorder with seizures or convulsions,originalCodes
Somatic Symptom and Related Disorders,F44.6,Conversion disorder with sensory symptom or deficit,originalCodes
Somatic Symptom and Related Disorders,F44.7,Conversion disorder with mixed symptom presentation,originalCodes
Somatic Symptom and Related Disorders,F45.0,Somatization disorder,originalCodes
Somatic Symptom and Related Disorders,F45.1,Undifferentiated somatoform disorder,originalCodes
Somatic Symptom and Related Disorders,F45.20,"Hypochondriacal disorder, unspecified",originalCodes
Somatic Symptom and Related Disorders,F45.21,Hypochondriasis,originalCodes
Somatic Symptom and Related Disorders,F45.29,Other hypochondriacal disorders,originalCodes
Somatic Symptom and Related Disorders,F45.41,Pain disorder exclusively related to psychological factors,originalCodes
Somatic Symptom and Related Disorders,F45.42,Pain disorder with related psychological factors,originalCodes
Somatic Symptom and Related Disorders,F45.8,Other somatoform disorders,originalCodes
Somatic Symptom and Related Disorders,F45.9,"Somatoform disorder, unspecified",originalCodes
Somatic Symptom and Related Disorders,F68.10,"Factitious disorder, unspecified",originalCodes
Somatic Symptom and Related Disorders,F68.11,Factitious disorder with predominantly psychological signs and symptoms,originalCodes
Somatic Symptom and Related Disorders,F68.12,Factitious disorder with predominantly physical signs and symptoms,originalCodes
Somatic Symptom and Related Disorders,F68.13,Factitious disorder with combined psychological and physical signs and symptoms,originalCodes
Somatic Symptom and Related Disorders,F68.A,Factitious disorder imposed on another,originalCodes
Substance-Related and Addictive Disorders,F10.10,"Alcohol abuse, uncomplicated",originalCodes
Substance-Related and Addictive Disorders,F10.120,"Alcohol abuse with intoxication, uncomplicated",originalCodes
Substance-Related and Addictive Disorders,F10.121,Alcohol abuse with intoxication delirium,originalCodes
Substance-Related and Addictive Disorders,F10.129,"Alcohol abuse with intoxication, unspecified",originalCodes
Substance-Related and Addictive Disorders,F10.14,Alcohol abuse with alcohol-induced mood disorder,originalCodes
Substance-Related and Addictive Disorders,F10.150,Alcohol abuse with alcohol-induced psychotic disorder with delusions,originalCodes
Substance-Related and Addictive Disorders,F10.151,Alcohol abuse with alcohol-induced psychotic disorder with hallucinations,originalCodes
Substance-Related and Addictive Disorders,F10.159,"Alcohol abuse with alcohol-induced psychotic disorder, unspecified",originalCodes
Substance-Related and Addictive Disorders,F10.180,Alcohol abuse with alcohol-induced anxiety disorder,originalCodes
Substance-Related and Addictive Disorders,F10.181,Alcohol abuse with alcohol-induced sexual dysfunction,originalCodes
Substance-Related and Addictive Disorders,F10.182,Alcohol abuse with alcohol-induced sleep disorder,originalCodes
Substance-Related and Addictive Disorders,F10.188,Alcohol abuse with other alcohol-induced disorder,originalCodes
Substance-Related and Addictive Disorders,F10.19,Alcohol abuse with unspecified alcohol-induced disorder,originalCodes
Substance-Related and Addictive Disorders,F10.20,"Alcohol dependence, uncomplicated",originalCodes
Substance-Related and Addictive Disorders,F10.21,"Alcohol dependence, in remission",originalCodes
Substance-Related and Addictive Disorders,F10.220,"Alcohol dependence with intoxication, uncomplicated",originalCodes
Substance-Related and Addictive Disorders,F10.221,Alcohol dependence with intoxication delirium,originalCodes
Substance-Related and Addictive Disorders,F10.229,"Alcohol dependence with intoxication, unspecified",originalCodes
Substance-Related and Addictive Disorders,F10.230,"Alcohol dependence with withdrawal, uncomplicated",originalCodes
Substance-Related and Addictive Disorders,F10.231,Alcohol dependence with withdrawal delirium,originalCodes
Substance-Related and Addictive Disorders,F10.232,Alcohol dependence with withdrawal with perceptual disturbance,originalCodes
Substance-Related and Addictive Disorders,F10.239,"Alcohol dependence with withdrawal, unspecified",originalCodes
Substance-Related and Addictive Disorders,F10.24,Alcohol dependence with alcohol-induced mood disorder,originalCodes
Substance-Related and Addictive Disorders,F10.250,Alcohol dependence with alcohol-induced psychotic disorder with delusions,originalCodes
Substance-Related and Addictive Disorders,F10.251,Alcohol dependence with alcohol-induced psychotic disorder with hallucinations,originalCodes
Substance-Related and Addictive Disorders,F10.259,"Alcohol dependence with alcohol-induced psychotic disorder, unspecified",originalCodes
Substance-Related and Addictive Disorders,F10.26,Alcohol dependence with alcohol-induced persisting amnestic disorder,originalCodes
Substance-Related and Addictive Disorders,F10.27,Alcohol dependence with alcohol-induced persisting dementia,originalCodes
Substance-Related and Addictive Disorders,F10.280,Alcohol dependence with alcohol-induced anxiety disorder,originalCodes
Substance-Related and Addictive Disorders,F10.281,Alcohol dependence with alcohol-induced sexual dysfunction,originalCodes
Substance-Related and Addictive Disorders,F10.282,Alcohol dependence with alcohol-induced sleep disorder,originalCodes
Substance-Related and Addictive Disorders,F10.288,Alcohol dependence with other alcohol-induced disorder,originalCodes
Substance-Related and Addictive Disorders,F10.29,Alcohol dependence with unspecified alcohol-induced disorder,originalCodes
Substance-Related and Addictive Disorders,F10.920,"Alcohol use, unspecified with intoxication, uncomplicated",originalCodes
Substance-Related and Addictive Disorders,F10.921,"Alcohol use, unspecified with intoxication delirium",originalCodes
Substance-Related and Addictive Disorders,F10.929,"Alcohol use, unspecified with intoxication, unspecified",originalCodes
Substance-Related and Addictive Disorders,F10.94,"Alcohol use, unspecified with alcohol-induced mood disorder",originalCodes
Substance-Related and Addictive Disorders,F10.950,"Alcohol use, unspecified with alcohol-induced psychotic disorder with delusions",originalCodes
Substance-Related and Addictive Disorders,F10.951,"Alcohol use, unspecified with alcohol-induced psychotic disorder with hallucinations",originalCodes
Substance-Related and Addictive Disorders,F10.959,"Alcohol use, unspecified with alcohol-induced psychotic disorder, unspecified",originalCodes
Substance-Related and Addictive Disorders,F10.96,"Alcohol use, unspecified with alcohol-induced persisting amnestic disorder",originalCodes
Substance-Related and Addictive Disorders,F10.97,"Alcohol use, unspecified with alcohol-induced persisting dementia",originalCodes
Substance-Related and Addictive Disorders,F10.980,"Alcohol use, unspecified with alcohol-induced anxiety disorder",originalCodes
Substance-Related and Addictive Disorders,F10.981,"Alcohol use, unspecified with alcohol-induced sexual dysfunction",originalCodes
Substance-Related and Addictive Disorders,F10.982,"Alcohol use, unspecified with alcohol-induced sleep disorder",originalCodes
Substance-Related and Addictive Disorders,F10.988,"Alcohol use, unspecified with other alcohol-induced disorder",originalCodes
Substance-Related and Addictive Disorders,F10.99,"Alcohol use, unspecified with unspecified alcohol-induced disorder",originalCodes
Substance-Related and Addictive Disorders,F11.10,"Opioid abuse, uncomplicated",originalCodes
Substance-Related and Addictive Disorders,F11.120,"Opioid abuse with intoxication, uncomplicated",originalCodes
Substance-Related and Addictive Disorders,F11.121,Opioid abuse with intoxication delirium,originalCodes
Substance-Related and Addictive Disorders,F11.122,Opioid abuse with intoxication with perceptual disturbance,originalCodes
Substance-Related and Addictive Disorders,F11.129,"Opioid abuse with intoxication, unspecified",originalCodes
Substance-Related and Addictive Disorders,F11.14,Opioid abuse with opioid-induced mood disorder,originalCodes
Substance-Related and Addictive Disorders,F11.150,Opioid abuse with opioid-induced psychotic disorder with delusions,originalCodes
Substance-Related and Addictive Disorders,F11.151,Opioid abuse with opioid-induced psychotic disorder with hallucinations,originalCodes
Substance-Related and Addictive Disorders,F11.159,"Opioid abuse with opioid-induced psychotic disorder, unspecified",originalCodes
Substance-Related and Addictive Disorders,F11.181,Opioid abuse with opioid-induced sexual dysfunction,originalCodes
Substance-Related and Addictive Disorders,F11.182,Opioid abuse with opioid-induced sleep disorder,originalCodes
Substance-Related and Addictive Disorders,F11.188,Opioid abuse with other opioid-induced disorder,originalCodes
Substance-Related and Addictive Disorders,F11.19,Opioid abuse with unspecified opioid-induced disorder,originalCodes
Substance-Related and Addictive Disorders,F11.20,"Opioid dependence, uncomplicated",originalCodes
Substance-Related and Addictive Disorders,F11.21,"Opioid dependence, in remission",originalCodes
Substance-Related and Addictive Disorders,F11.220,"Opioid dependence with intoxication, uncomplicated",originalCodes
Substance-Related and Addictive Disorders,F11.221,Opioid dependence with intoxication delirium,originalCodes
Substance-Related and Addictive Disorders,F11.222,Opioid dependence with intoxication with perceptual disturbance,originalCodes
Substance-Related and Addictive Disorders,F11.229,"Opioid dependence with intoxication, unspecified",originalCodes
Substance-Related and Addictive Disorders,F11.23,Opioid dependence with withdrawal,originalCodes
Substance-Related and Addictive Disorders,F11.24,Opioid dependence with opioid-induced mood disorder,originalCodes
Substance-Related and Addictive Disorders,F11.250,Opioid dependence with opioid-induced psychotic disorder with delusions,originalCodes
Substance-Related and Addictive Disorders,F11.251,Opioid dependence with opioid-induced psychotic disorder with hallucinations,originalCodes
Substance-Related and Addictive Disorders,F11.259,"Opioid dependence with opioid-induced psychotic disorder, unspecified",originalCodes
Substance-Related and Addictive Disorders,F11.281,Opioid dependence with opioid-induced sexual dysfunction,originalCodes
Substance-Related and Addictive Disorders,F11.282,Opioid dependence with opioid-induced sleep disorder,originalCodes
Substance-Related and Addictive Disorders,F11.288,Opioid dependence with other opioid-induced disorder,originalCodes
Substance-Related and Addictive Disorders,F11.29,Opioid dependence with unspecified opioid-induced disorder,originalCodes
Substance-Related and Addictive Disorders,F11.90,"Opioid use, unspecified, uncomplicated",originalCodes
Substance-Related and Addictive Disorders,F11.920,"Opioid use, unspecified with intoxication, uncomplicated",originalCodes
Substance-Related and Addictive Disorders,F11.921,"Opioid use, unspecified with intoxication delirium",originalCodes
Substance-Related and Addictive Disorders,F11.922,"Opioid use, unspecified with intoxication with perceptual disturbance",originalCodes
Substance-Related and Addictive Disorders,F11.929,"Opioid use, unspecified with intoxication, unspecified",originalCodes
Substance-Related and Addictive Disorders,F11.93,"Opioid use, unspecified with withdrawal",originalCodes
